radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
24.43568,0.434,-47.906801,0.232,14.347,0.086,6,15.221,0.046,6,NA,NA,0,14.769,0.023,6,14.106,0.056,6,13.862,0.086,6,NA,NA,0,NA,NA,0
24.43587,0.519,-48.251426,0.315,NA,NA,0,NA,NA,0,NA,NA,0,18.282,0.117,2,17.089,0.144,2,16.573,0.021,2,NA,NA,0,NA,NA,0
24.436322,0.516,-47.76157,0.389,13.907,0.037,4,14.55,0.037,4,NA,NA,0,14.168,0.035,5,13.734,0.058,5,13.632,0.06,3,13.284,0.146,4,NA,NA,0
24.438593,0.485,-48.063317,0.483,17.241,0.203,1,17.874,0.255,1,NA,NA,0,18.16,0.151,3,17.246,0.043,3,NA,NA,0,NA,NA,0,NA,NA,0
24.439646,0.418,-48.541873,0.232,15.964,0.047,10,16.634,0.151,10,NA,NA,0,16.348,0.286,8,15.898,0.142,8,15.753,0.117,7,NA,NA,0,NA,NA,0
24.440014,0.181,-48.267779,0.304,15.847,0.05,6,17.3,0.079,6,NA,NA,0,16.61,0.036,6,15.239,0.069,6,14.473,0.038,6,NA,NA,0,NA,NA,0
24.44073,0.204,-48.315565,0.251,14.689,0.042,6,15.481,0.031,6,NA,NA,0,15.058,0.029,6,14.486,0.032,6,14.272,0.029,6,NA,NA,0,NA,NA,0
24.441617,0.561,-49.168821,0.253,13.982,0.206,8,14.735,0.036,8,NA,NA,0,14.268,0.044,8,13.742,0.173,8,13.454,0.026,6,13.438,0.057,2,NA,NA,0
24.442816,0.46,-48.676523,0.221,15.648,0.07,10,16.717,0.164,10,NA,NA,0,16.218,0.277,10,15.289,0.058,10,15.013,0.279,10,NA,NA,0,NA,NA,0
24.44429,0.332,-49.554325,0.307,17.031,0.117,1,18.369,0.24,1,NA,NA,0,17.855,0.079,5,16.501,0.117,5,15.311,0.068,5,NA,NA,0,NA,NA,0
24.445578,0.407,-48.756649,0.219,14.478,0.035,10,15.362,0.085,10,NA,NA,0,14.925,0.253,10,14.271,0.076,10,14.09,0.221,10,NA,NA,0,NA,NA,0
24.445799,0.509,-49.507478,0.565,17.129,0.129,5,17.767,0.249,5,NA,NA,0,17.409,0.151,5,16.886,0.109,5,16.485,0.24,3,NA,NA,0,NA,NA,0
24.447334,0.292,-48.516745,0.294,14.436,0.057,10,15.784,0.087,10,NA,NA,0,15.188,0.229,10,13.917,0.053,10,13.426,0.269,10,13.121,0.008,2,NA,NA,0
24.447482,0.358,-48.344585,0.198,16.275,0.084,6,17.073,0.121,6,NA,NA,0,16.727,0.036,6,16.033,0.07,6,15.773,0.134,6,NA,NA,0,NA,NA,0
